title;doi;received month;received year;accepted month;accepted year;published month;published year;issued month;issued year;received - accepted;accepted - published;published - issued
The New Organic Chemistry*;https://doi.org/10.1038/156036a0;;;;;;;July;1945;;;
Thermal History of the Earth*;https://doi.org/10.1038/156035a0;;;;;;;July;1945;;;
Estimation of Multiple Correlation by Means of Stereographic Projection;https://doi.org/10.1038/156058a0;;;;;;;July;1945;;;
Vitamin a Deficiency and the Requirements of Human Adults;https://doi.org/10.1038/156011a0;;;;;;;July;1945;;;
X-Rays and Cells;https://doi.org/10.1038/155778a0;;;;;;;June;1945;;;
Psychological Implications of the Culture-Pattern Theory;https://doi.org/10.1038/155776a0;;;;;;;June;1945;;;
The Meniscus Telescope;https://doi.org/10.1038/155798b0;;;;;;;June;1945;;;
Post-War University Problems in the United States;https://doi.org/10.1038/155765a0;;;;;;;June;1945;;;
Symbiotic Nitrogen Fixation;https://doi.org/10.1038/155747a0;;;;;;;June;1945;;;
National Flour (80 Per Cent Extraction) and Bread in Britain;https://doi.org/10.1038/155717a0;;;;;;;June;1945;;;
Anomalous Inactivation of Heavy Metal Antifouling Paints*;https://doi.org/10.1038/155715a0;;;;;;;June;1945;;;
Isolation of the Mammalian Colour Receptors with Micro-Electrodes;https://doi.org/10.1038/155711a0;;;;;;;June;1945;;;
Photometric Record of the Mode of Action of Sulphonamides and Penicillin;https://doi.org/10.1038/155701a0;;;;;;;June;1945;;;
The Change from Trichromatic to Dichromatic Vision in the Human Retina;https://doi.org/10.1038/155657a0;;;;;;;June;1945;;;
Seaweed Rayon;https://doi.org/10.1038/155655a0;;;;;;;June;1945;;;
Archæological Exploration in South Africa;https://doi.org/10.1038/155675a0;;;;;;;June;1945;;;
The Kelp Trade;https://doi.org/10.1038/155673a0;;;;;;;June;1945;;;
Conference on X-Ray Analysis;https://doi.org/10.1038/155643b0;;;;;;;May;1945;;;
Formative Effects of Environmental Factors as Exemplified in the Development of the Onion Plant;https://doi.org/10.1038/155623a0;;;;;;;May;1945;;;
Autosynthetic Molecules;https://doi.org/10.1038/155596a0;;;;;;;May;1945;;;
Carotene and Sugar Content of Carrots;https://doi.org/10.1038/155613a0;;;;;;;May;1945;;;
The Super-Fluidity of Liquid Helium II;https://doi.org/10.1038/155598a0;;;;;;;May;1945;;;
Ripening Effects of Emanation from Fruits;https://doi.org/10.1038/155551a0;;;;;;;May;1945;;;
Marine and other Biological Laboratories;https://doi.org/10.1038/155550a0;;;;;;;May;1945;;;
Plant-Growth Substances as Selective Weed-Killers: Inhibition of Plant Growth by 2:4-Dichlorophenoxyacetic Acid and other Plant-Growth Substances;https://doi.org/10.1038/155498a0;;;;;;;April;1945;;;
The Displacement Method of Weighing Living Quatic Organisms;https://doi.org/10.1038/155520a0;;;;;;;April;1945;;;
Plant-Growth Substances as Selective Weed-Killers Differential Effect of Flant-Growth Substances on Plant Species;https://doi.org/10.1038/155497a0;;;;;;;April;1945;;;
X-Ray Crystallographic Measurements on a Single Crystal of a Tobacco Necrosis Virus Derivative;https://doi.org/10.1038/155504a0;;;;;;;April;1945;;;
Artificial Protein Fibres: Their Conception and Preparation;https://doi.org/10.1038/155501a0;;;;;;;April;1945;;;
Toxic Spray Substances and Plant Growth;https://doi.org/10.1038/155523a0;;;;;;;April;1945;;;
Comments on Chromosome Structure;https://doi.org/10.1038/155471a0;;;;;;;April;1945;;;
Diagnosis of Mineral Deficiencies in Crop Plants;https://doi.org/10.1038/155444a0;;;;;;;April;1945;;;
Natural History of Granite;https://doi.org/10.1038/155412a0;;;;;;;April;1945;;;
Effect of Mulching on the Soil;https://doi.org/10.1038/155405b0;;;;;;;March;1945;;;
Artificial Production of Coat Colour in the Albino Rat: Its Relation to Pattern in the Growth of Hair;https://doi.org/10.1038/155379a0;;;;;;;March;1945;;;
Dormancy in British-Grown Wheat;https://doi.org/10.1038/155381a0;;;;;;;March;1945;;;
Oxidation-Reduction Aspects of Resazurin;https://doi.org/10.1038/155401a0;;;;;;;March;1945;;;
The Science of Plant Breeding;https://doi.org/10.1038/155355a0;;;;;;;March;1945;;;
'Rubber Acid' Damage in Fire Hoses;https://doi.org/10.1038/155322a0;;;;;;;March;1945;;;
Nicotinamide Methochloride and Its Fluorescent Derivatives;https://doi.org/10.1038/155319a0;;;;;;;March;1945;;;
Causality or Indeterminism?;https://doi.org/10.1038/155289a0;;;;;;;March;1945;;;
Construction of the Shoot Apex in Cereals and other Grasses;https://doi.org/10.1038/155291a0;;;;;;;March;1945;;;
Geology of the Punjab Salt Range;https://doi.org/10.1038/155258a0;;;;;;;March;1945;;;
Naming of the Redwoods;https://doi.org/10.1038/155254a0;;;;;;;March;1945;;;
Bacteriostatic Effects of Potassium Chlorate on Soil Nitrification;https://doi.org/10.1038/155276a0;;;;;;;March;1945;;;
HæMoglobin in the Root Nodules of Leguminous Plants;https://doi.org/10.1038/155227a0;;;;;;;February;1945;;;
Biphasic Action of Penicillin and other Sulphonamide Similarity;https://doi.org/10.1038/155210a0;;;;;;;February;1945;;;
The Peats of New Jersey;https://doi.org/10.1038/155195a0;;;;;;;February;1945;;;
Mangroves in the New World;https://doi.org/10.1038/155212a0;;;;;;;February;1945;;;
Application of Infra-Red Spectroscopy to Chemical Problems;https://doi.org/10.1038/155191a0;;;;;;;February;1945;;;
Polymer-Plasticizer Interaction;https://doi.org/10.1038/155164a0;;;;;;;February;1945;;;
Tissue Induction;https://doi.org/10.1038/155148a0;;;;;;;February;1945;;;
A Quantum Theory of the Origin of the Solar System;https://doi.org/10.1038/155133a0;;;;;;;February;1945;;;
Wireworms and Food Production;https://doi.org/10.1038/155136a0;;;;;;;February;1945;;;
Ked-Flies;https://doi.org/10.1038/155123a0;;;;;;;January;1945;;;
Crop Production in Nutrient Solutions;https://doi.org/10.1038/155099a0;;;;;;;January;1945;;;
The Taxonomy of British Bryophytes as a Field for Research;https://doi.org/10.1038/155100a0;;;;;;;January;1945;;;
Electrochemical Properties of Silicic Acid Sols;https://doi.org/10.1038/155085a0;;;;;;;January;1945;;;
Structure of Diamond;https://doi.org/10.1038/155069a0;;;;;;;January;1945;;;
The Gas Industry: Yesterday and To-Morrow*;https://doi.org/10.1038/155034a0;;;;;;;January;1945;;;
Relativity of Temperature Radiation;https://doi.org/10.1038/155061a0;;;;;;;January;1945;;;
The Food Finding of Wireworms (Agriotes spp.);https://doi.org/10.1038/155046a0;;;;;;;January;1945;;;
Importance of Potato Virus X in the Growing of Potatoes;https://doi.org/10.1038/155038a0;;;;;;;January;1945;;;
Land Settlement and Resource Development*;https://doi.org/10.1038/155005a0;;;;;;;January;1945;;;
Geochemistry in the U.S.S.R;https://doi.org/10.1038/154814a0;;;;;;;December;1944;;;
Thermodynamics of Sorption Isotherms: The Hysteresis Loop in Capillary Condensation;https://doi.org/10.1038/154837a0;;;;;;;December;1944;;;
Rat Plagues in Western Queensland;https://doi.org/10.1038/154803a0;;;;;;;December;1944;;;
Mountains that have Travelled Over Volcanoes*;https://doi.org/10.1038/154752a0;;;;;;;December;1944;;;
Rods and Cones, and Thomas Young'S Theory of Colour Vision;https://doi.org/10.1038/154741a0;;;;;;;December;1944;;;
West Cumberland and its Utilization;https://doi.org/10.1038/154647a0;;;;;;;November;1944;;;
Suitability of a Cool Maritime Climate for Seed Potato Production;https://doi.org/10.1038/154644a0;;;;;;;November;1944;;;
Anomalous Disintegration of Nuclei by Cosmic Rays;https://doi.org/10.1038/154616a0;;;;;;;November;1944;;;
Surface Tension and the Degeneration of Nerve Fibres;https://doi.org/10.1038/154521a0;;;;;;;October;1944;;;
Models of the Universe and Cosmological Time-Scales;https://doi.org/10.1038/154477a0;;;;;;;October;1944;;;
Monochromatism*;https://doi.org/10.1038/154466b0;;;;;;;October;1944;;;
Pavlov's Work on Higher Nervous Activity and its Development in the U.S.S.R;https://doi.org/10.1038/154385a0;;;;;;;September;1944;;;
Meteorites or Springs as Geological Agents?;https://doi.org/10.1038/154383a0;;;;;;;September;1944;;;
Occasional Whiteness of the Dead Sea;https://doi.org/10.1038/154402a0;;;;;;;September;1944;;;
Biological Applications of the Electron Microscope*;https://doi.org/10.1038/154356a0;;;;;;;September;1944;;;
'D.D.T.': a New Insecticide;https://doi.org/10.1038/154352a0;;;;;;;September;1944;;;
The Cosmic Time-Scale;https://doi.org/10.1038/154327a0;;;;;;;September;1944;;;
The Fatigue of Glass Under Stress;https://doi.org/10.1038/154341a0;;;;;;;September;1944;;;
Photochemistry in Retrospect;https://doi.org/10.1038/154326a0;;;;;;;September;1944;;;
Current Problems of Visual Research;https://doi.org/10.1038/154290a0;;;;;;;September;1944;;;
A Crystalline Serum Mucoprotein with High Choline-Esterase Activity;https://doi.org/10.1038/154183a0;;;;;;;August;1944;;;
Heredity, Development and Infection;https://doi.org/10.1038/154164a0;;;;;;;August;1944;;;
Stimulation of the Anterior Hypophysis by Œstrogenic Hormone;https://doi.org/10.1038/154154a0;;;;;;;July;1944;;;
Reaction of Human Serum Albumin with Hæmatin and Hæm;https://doi.org/10.1038/154120a0;;;;;;;July;1944;;;
Amino-Acid Mixtures as an Additional Food for Premature Infants;https://doi.org/10.1038/154091a0;;;;;;;July;1944;;;
Charcoal Briquettes as Locomotive Fuel;https://doi.org/10.1038/154058a0;;;;;;;July;1944;;;
Hardening and Darkening of the Insect Cuticle;https://doi.org/10.1038/154057a0;;;;;;;July;1944;;;
Age and Origin of the 'Breckland' Heaths of East Anglia;https://doi.org/10.1038/154006a0;;;;;;;July;1944;;;
Cholesterol Metabolism in the Animal Body;https://doi.org/10.1038/154029a0;;;;;;;July;1944;;;
Invasion of the New World by Anopheles GambiÆ;https://doi.org/10.1038/153765a0;;;;;;;June;1944;;;
Transformation of Pneumococcal Types;https://doi.org/10.1038/153763a0;;;;;;;June;1944;;;
Radiochemistry of Aqueous Solutions;https://doi.org/10.1038/153748a0;;;;;;;June;1944;;;
The Laws of Nature*;https://doi.org/10.1038/153731a0;;;;;;;June;1944;;;
Control of Ovulation in Farm Animals;https://doi.org/10.1038/153702a0;;;;;;;June;1944;;;
The Statistical Law in Nature;https://doi.org/10.1038/153704a0;;;;;;;June;1944;;;
The Black Redstart: A New British Breeding Bird;https://doi.org/10.1038/153659a0;;;;;;;May;1944;;;
Science and Art at the Royal Academy, 1944;https://doi.org/10.1038/153643a0;;;;;;;May;1944;;;
Wöhler's 'Synthetic' Urea and the Rejection of Vitalism: A Chemical Legend;https://doi.org/10.1038/153608a0;;;;;;;May;1944;;;
Activation of Pyrethrins in Fly-Sprays;https://doi.org/10.1038/153594a0;;;;;;;May;1944;;;
Incompatibility in Plants;https://doi.org/10.1038/153575a0;;;;;;;May;1944;;;
The Affine Connexion in Physical Field Theories;https://doi.org/10.1038/153572a0;;;;;;;May;1944;;;
A Fish-Farming Experiment in a Sea Loch;https://doi.org/10.1038/153483a0;;;;;;;April;1944;;;
Progress in Geographical Method;https://doi.org/10.1038/153481a0;;;;;;;April;1944;;;
The Nature of the Vitamin B2 Complex*;https://doi.org/10.1038/153478a0;;;;;;;April;1944;;;
Chromosomin' and Nucleic Acids;https://doi.org/10.1038/153500a0;;;;;;;April;1944;;;
Chromosomin' and Nucleic Acids;https://doi.org/10.1038/153499b0;;;;;;;April;1944;;;
Centrifugal Vacuum Freezing: Its Aapplication to the Drying of Biological Materials from the Frozen State;https://doi.org/10.1038/153485a0;;;;;;;April;1944;;;
Kilimanjaro: An Active Volcano;https://doi.org/10.1038/153454a0;;;;;;;April;1944;;;
Basicities of the Aminoquinolines: Comparison with the Aminoacridines and Aminopyridines;https://doi.org/10.1038/153467b0;;;;;;;April;1944;;;
Biological Control as a Supplement to Chemical Control of Insect Pests;https://doi.org/10.1038/153448a0;;;;;;;April;1944;;;
Genetical Control of Incomatibility in Angiosperms and Fungi;https://doi.org/10.1038/153392a0;;;;;;;April;1944;;;
Structure of Heterochromatin;https://doi.org/10.1038/153365a0;;;;;;;March;1944;;;
A Social Medicine Based on Social Statistics;https://doi.org/10.1038/153363a0;;;;;;;March;1944;;;
Contraction, Turgor and the Cytoskeleton of Nerve Fibres;https://doi.org/10.1038/153333a0;;;;;;;March;1944;;;
Origin and Action of Drugs;https://doi.org/10.1038/153300a0;;;;;;;March;1944;;;
Science and Technology in the North-West of China;https://doi.org/10.1038/153238a0;;;;;;;February;1944;;;
Chemical Structure and Anti-Fibromatogenic Activity of Steroid Hormones;https://doi.org/10.1038/153260a0;;;;;;;February;1944;;;
Prenatal Mortality and the Birth-Rate;https://doi.org/10.1038/153245a0;;;;;;;February;1944;;;
Measuring the Distance of the Sun from the Earth*;https://doi.org/10.1038/153181a0;;;;;;;February;1944;;;
The Rapid Treatment of Syphilis;https://doi.org/10.1038/153187a0;;;;;;;February;1944;;;
'Magnetic' Current;https://doi.org/10.1038/153157a0;;;;;;;February;1944;;;
Gesture Origin of Indo-European Languages;https://doi.org/10.1038/153171a0;;;;;;;February;1944;;;
A New Form of Microfilm Reader;https://doi.org/10.1038/153155a0;;;;;;;February;1944;;;
World Student Relief The Work of International Student Service;https://doi.org/10.1038/153152a0;;;;;;;February;1944;;;
An Unambiguous Method of Avoiding Divergence Difficulties in Quantum Theory;https://doi.org/10.1038/153143a0;;;;;;;January;1944;;;
Nitrogen Loss from Soils and Oxide Surfaces;https://doi.org/10.1038/153115a0;;;;;;;January;1944;;;
Chemical Aspects of the Visual Process;https://doi.org/10.1038/153069a0;;;;;;;January;1944;;;
Statistics in Sedimentary Petrology;https://doi.org/10.1038/153071a0;;;;;;;January;1944;;;
Influence of Newton's Work on Scientific Thought*;https://doi.org/10.1038/153042a0;;;;;;;January;1944;;;
Feeding Waste Apples to Poultry;https://doi.org/10.1038/153030a0;;;;;;;January;1944;;;
Dichroism;https://doi.org/10.1038/153009a0;;;;;;;January;1944;;;
THE REGIONAL CONCEPT IN GEOGRAPHY;https://doi.org/10.1038/152740a0;;;;;;;December;1943;;;
SOVIET WAR-TIME SURGERY;https://doi.org/10.1038/152756a0;;;;;;;December;1943;;;
TAXONOMY OF THE MOTHS INFESTING STORED FOOD PRODUCTS;https://doi.org/10.1038/152742a0;;;;;;;December;1943;;;
STERIC HINDRANCE AND HEATS OF FORMATION;https://doi.org/10.1038/152738a0;;;;;;;December;1943;;;
ANTHROPOLOGY IN RECONSTRUCTION;https://doi.org/10.1038/152710a0;;;;;;;December;1943;;;
SUBDIVISION OF INSECTA PTERYGOTA INTO SUBORDINATE GROUPS;https://doi.org/10.1038/152727a0;;;;;;;December;1943;;;
Optical Topics in Part Connected with Charles Parsons;https://doi.org/10.1038/152676a0;;;;;;;December;1943;;;
Binocular and Uniocular Threshold of Vision;https://doi.org/10.1038/152698a0;;;;;;;December;1943;;;
THE ROYAL SOCIETY AND ITS HOMES*;https://doi.org/10.1038/152649a0;;;;;;;December;1943;;;
Reconstruction of Engineering Education;https://doi.org/10.1038/152609a0;;;;;;;November;1943;;;
Problems of International Mineral Control;https://doi.org/10.1038/152607a0;;;;;;;November;1943;;;
Patulin;https://doi.org/10.1038/152619a0;;;;;;;November;1943;;;
SPATIAL ISOLATION OF SEED CROPS;https://doi.org/10.1038/152591a0;;;;;;;November;1943;;;
THE SIGNIFICANCE AND DEVELOPMENT OF HAMILTON'S QUATERNIONS;https://doi.org/10.1038/152553a0;;;;;;;November;1943;;;
CONSERVATION OF HUMUS IN TROPICAL SOILS;https://doi.org/10.1038/152572a0;;;;;;;November;1943;;;
VALUE OF HORSE CHESTNUTS AS FOOD FOR PIGS;https://doi.org/10.1038/152571a0;;;;;;;November;1943;;;
PROBABLE FUNCTION OF HISTONE AS A REGULATOR OF MITOSIS;https://doi.org/10.1038/152556a0;;;;;;;November;1943;;;
PREPARATION OF A GIANT STRAIN OF Torulopsis utilis;https://doi.org/10.1038/152526a0;;;;;;;November;1943;;;
POTATO EYES AS READILY TRANSPORTABLE 'SEED' FOR THE COLONIES;https://doi.org/10.1038/152464a0;;;;;;;October;1943;;;
STUDIES OF TWINS IN THE SOCIAL SCIENCES;https://doi.org/10.1038/152437a0;;;;;;;October;1943;;;
GEOGRAPHICAL DISTRIBUTION OF Arenaria humifusa Wahlenb., NEW TO THE FLORA OF SPITSBERGEN;https://doi.org/10.1038/152451a0;;;;;;;October;1943;;;
PRINCIPLES OF INSECTICIDAL BIO-ASSAY;https://doi.org/10.1038/152400a0;;;;;;;October;1943;;;
HISTORICAL DEVELOPMENT OF MICROBIOLOGICAL METHODS IN VITAMIN RESEARCH;https://doi.org/10.1038/152374a0;;;;;;;October;1943;;;
MEGATECTONICS AND MICROTECTONICS;https://doi.org/10.1038/152347a0;;;;;;;September;1943;;;
FEEDING HORSE CHESTNUTS AND ELDERBERRIES TO POULTRY;https://doi.org/10.1038/152345a0;;;;;;;September;1943;;;
RACE, CLASS AND MATING IN THE EVOLUTION OF MAN*;https://doi.org/10.1038/152315a0;;;;;;;September;1943;;;
BULB FORMATION AND FLOWER PRODUCTION IN ONION PLANTS GROWN FROM SETS;https://doi.org/10.1038/152334a0;;;;;;;September;1943;;;
A MIOCENE ANTHROPOID MANDIBLE FROM RUSINGA, KENYA;https://doi.org/10.1038/152319a0;;;;;;;September;1943;;;
PERMEABILITY AND MOLECULAR CONSTITUTION AS FACTORS IN DRUG ACTION;https://doi.org/10.1038/152292a0;;;;;;;September;1943;;;
APPEARANCE OF GLUTATHIONE DURING THE EARLY STAGES OF THE GERMINATION OF SEEDS;https://doi.org/10.1038/152288a0;;;;;;;September;1943;;;
PRINCIPLES OF THE USE OF NON-REFLECTING FILMS IN OPTICAL INSTRUMENTS*;https://doi.org/10.1038/152290a0;;;;;;;September;1943;;;
SOME EFFECTS ON LIESEGANG RINGS;https://doi.org/10.1038/152305a0;;;;;;;September;1943;;;
CHROMOSOMIN, A PROTEIN CONSTITUENT OF CHROMOSOMES;https://doi.org/10.1038/152267a0;;;;;;;September;1943;;;
SABETHINE MOSQUITOES OF THE AMERICAS;https://doi.org/10.1038/152279a0;;;;;;;September;1943;;;
AREA AND NUMBER OF SPECIES;https://doi.org/10.1038/152264a0;;;;;;;September;1943;;;
EDMOND HALLEY AND GEOMAGNETISM*;https://doi.org/10.1038/152231a0;;;;;;;August;1943;;;
SOME CZECHOSLOVAK CONTRIBUTIONS TO CHEMISTRY IN THE NINETEENTH CENTURY;https://doi.org/10.1038/152239a0;;;;;;;August;1943;;;
INFECTION OF LABORATORY ANIMALS WITH JOHNE'S DISEASE AND LEPROSY;https://doi.org/10.1038/152250a0;;;;;;;August;1943;;;
FLUORESCENCE OF ORGANIC MOLECULES*;https://doi.org/10.1038/152176a0;;;;;;;August;1943;;;
A NEW ORDER OF CRUSTACEA;https://doi.org/10.1038/152167b0;;;;;;;August;1943;;;
EDUCATION IN THE ARMY;https://doi.org/10.1038/152166b0;;;;;;;August;1943;;;
ARTIFICIAL PRODUCTION OF DIAMONDS;https://doi.org/10.1038/152148a0;;;;;;;August;1943;;;
Adolescence and Some Problems of Youth Training*;https://doi.org/10.1038/152122a0;;;;;;;July;1943;;;
PRESERVATION OF MUSEUM OBJECTS IN WAR-TIME*;https://doi.org/10.1038/152094a0;;;;;;;July;1943;;;
PHYSIOLOGICALLY ACTIVE FRACTIONS OF INDIAN HEMP;https://doi.org/10.1038/152109a0;;;;;;;July;1943;;;
MAGNESIUM-CALCIUM ANTAGONISM IN MUSCLE;https://doi.org/10.1038/152081a0;;;;;;;July;1943;;;
NON-SOLAR PLANETS;https://doi.org/10.1038/152066a0;;;;;;;July;1943;;;
TREATMENT OF CANCER BY FAST NEUTRONS;https://doi.org/10.1038/152053a0;;;;;;;July;1943;;;
STRUCTURE OF α-KERATIN;https://doi.org/10.1038/152038a0;;;;;;;July;1943;;;
APPARENT VITAMIN C IN CERTAIN FOODSTUFFS;https://doi.org/10.1038/152014a0;;;;;;;July;1943;;;
CANCER RESEARCH;https://doi.org/10.1038/152026a0;;;;;;;July;1943;;;
ASCORBIC ACID IN DEHYDRATED FOODS;https://doi.org/10.1038/152013a0;;;;;;;July;1943;;;
FIBRINOGEN AND FIBRIN AS MEMBERS OF THE KERATIN-MYOSIN GROUP;https://doi.org/10.1038/151716a0;;;;;;;June;1943;;;
X-RAY ANALYSIS OF HÆMOGLOBIN;https://doi.org/10.1038/151714a0;;;;;;;June;1943;;;
THE SEARCH FOR NEW INSECTICIDES;https://doi.org/10.1038/151690a0;;;;;;;June;1943;;;
VITAMINS OF THE B-GROUP REQUIRED BY INSECTS;https://doi.org/10.1038/151703a0;;;;;;;June;1943;;;
ORIGIN OF COSMIC RAYS;https://doi.org/10.1038/151663a0;;;;;;;June;1943;;;
AN ATTEMPT AT A NATURAL CLASSIFICATION OF THE STEROIDS;https://doi.org/10.1038/151662a0;;;;;;;June;1943;;;
Sewage Treatment in a Tropical City;https://doi.org/10.1038/151646a0;;;;;;;June;1943;;;
PHYSIOLOGY OF COLOUR VISION;https://doi.org/10.1038/151632a0;;;;;;;June;1943;;;
VISUAL PURPLE;https://doi.org/10.1038/151631a0;;;;;;;June;1943;;;
PHOSPHORUS METABOLISM IN MOULDS;https://doi.org/10.1038/151619a0;;;;;;;May;1943;;;
CONICAL REFRACTION;https://doi.org/10.1038/151620a0;;;;;;;May;1943;;;
ORGANIZATION OF AMERICAN SCIENTISTS FOR THE WAR*;https://doi.org/10.1038/151601a0;;;;;;;May;1943;;;
CO-ENZYMATIC REACTIONS;https://doi.org/10.1038/151577a0;;;;;;;May;1943;;;
IMPROVEMENT OF THE NITROGEN STATUS OF SOILS AND THE ORIGIN OF SOIL NITROGEN;https://doi.org/10.1038/151590a0;;;;;;;May;1943;;;
COPERNICUS AND THE HELIOCENTRIC THEORY;https://doi.org/10.1038/151573a0;;;;;;;May;1943;;;
ESTIMATION OF VITAMIN A;https://doi.org/10.1038/151535a0;;;;;;;May;1943;;;
THE CONCEPT OF ENERGY;https://doi.org/10.1038/151519a0;;;;;;;May;1943;;;
Some Czechoslovak Contributions to Genetics (1866–1938);https://doi.org/10.1038/151495a0;;;;;;;May;1943;;;
VALUE OF MICRO-ORGANISMS IN NUTRITION (FOOD YEAST);https://doi.org/10.1038/151406a0;;;;;;;April;1943;;;
INFLUENCE OF A PROLONGED PARTILA DEFICIENCY OF VITAMIN C ON THE RECOVERY OF GUINEA PIGS FROM INJURY TO BONES AND MUSCLES;https://doi.org/10.1038/151395a0;;;;;;;April;1943;;;
CALCIUM METABOLISM AND NUTRITION PROBLEMS*;https://doi.org/10.1038/151379a0;;;;;;;April;1943;;;
FRESHWATER FISHERIES IN THE BRITISH COLONIAL EMPIRE;https://doi.org/10.1038/151353a0;;;;;;;March;1943;;;
THEORY OF DIELECTRIC BREAKDOWN*;https://doi.org/10.1038/151339a0;;;;;;;March;1943;;;
LEAF ANALYSIS AS A GUIDE TO SOIL FERTILITY;https://doi.org/10.1038/151310a0;;;;;;;March;1943;;;
BIOCHEMISTRY AND CHEMOTHERAPY;https://doi.org/10.1038/151270a0;;;;;;;March;1943;;;
ORIGIN OF MALIGNANT TUMOUR CELLS;https://doi.org/10.1038/151244a0;;;;;;;February;1943;;;
OBSERVATIONS ON THE PHYSIOLOGY OF COLOUR VISION;https://doi.org/10.1038/151213a0;;;;;;;February;1943;;;
SOME EARLY CZECH CONTRIBUTIONS TO BOTANY;https://doi.org/10.1038/151098a0;;;;;;;January;1943;;;
RESONANCE AND CHEMICAL REACTIVITY;https://doi.org/10.1038/151096a0;;;;;;;January;1943;;;
ABSOLUTE TIME AND SPACE;https://doi.org/10.1038/151085a0;;;;;;;January;1943;;;
POLYGENIC BALANCE IN THE CANALIZATION OF DEVELOPMENT;https://doi.org/10.1038/151068a0;;;;;;;January;1943;;;
THE INTERFEROMETER IN LENS AND PRISM MANUFACTURE*;https://doi.org/10.1038/151043a0;;;;;;;January;1943;;;
AN INTERNATIONAL ANTI-LOCUST CAMPAIGN;https://doi.org/10.1038/151041a0;;;;;;;January;1943;;;
A PHYSIOLOGICAL THEORY OF COLOUR PERCEPTION;https://doi.org/10.1038/151011a0;;;;;;;January;1943;;;
THE HONEYBEE;https://doi.org/10.1038/150759a0;;;;;;;December;1942;;;
A METHOD OF PHYSIOLOGICAL ASSAY OF PYRETHRUM EXTRACTS;https://doi.org/10.1038/150760a0;;;;;;;December;1942;;;
HIGH-CONCENTRATION HYDROGEN CYANIDE FUMIGATION OF FUNGI AND BACTERIA;https://doi.org/10.1038/150682a0;;;;;;;December;1942;;;
MEASUREMENT OF ELECTRONIC CHARGE;https://doi.org/10.1038/150648a0;;;;;;;December;1942;;;
ELECTRON LENSES*;https://doi.org/10.1038/150650a0;;;;;;;December;1942;;;
ROLE OF HYALURONIDASE IN FERTILIZATION;https://doi.org/10.1038/150627a0;;;;;;;November;1942;;;
CANALIZATION OF DEVELOPMENT AND THE INHERITANCE OF ACQUIRED CHARACTERS;https://doi.org/10.1038/150563a0;;;;;;;November;1942;;;
MICROBIAL FACTORS IN THE DIGESTIVE ASSIMILATION OF STARCH AND CELLULOSE IN HERBIVORA;https://doi.org/10.1038/150479a0;;;;;;;October;1942;;;
THE CONDITION OF FRESHLY BURNT GASES;https://doi.org/10.1038/150481a0;;;;;;;October;1942;;;
FUNCTION OF SOIL CRACKS;https://doi.org/10.1038/150409a0;;;;;;;October;1942;;;
CONICAL REFRACTION;https://doi.org/10.1038/150382a0;;;;;;;September;1942;;;
REFLEXION OF X-RAYS WITH CHANGE OF FREQUENCY;https://doi.org/10.1038/150366a0;;;;;;;September;1942;;;
ILLUMINATION AND VISUAL RANGE UNDER WATER;https://doi.org/10.1038/150337a0;;;;;;;September;1942;;;
CATALYSED POLYMERIZATION OF METHYL METHACRYLATE IN THE LIQUID PHASE;https://doi.org/10.1038/150336a0;;;;;;;September;1942;;;
CRYSTAL STRUCTURE OF OXYHÆMOGLOBIN;https://doi.org/10.1038/150324a0;;;;;;;September;1942;;;
CYTOLOGICAL CRITERIA OF MAMMALIAN ENDOCRINE ACTIVITY;https://doi.org/10.1038/150279b0;;;;;;;September;1942;;;
THE DISCRIMINATION METHOD IN ANIMAL PSYCHOLOGY;https://doi.org/10.1038/150296a0;;;;;;;September;1942;;;
HALLEY'S COMET AND ITS IMPORTANCE*;https://doi.org/10.1038/150249a0;;;;;;;August;1942;;;
NATIVE PROTEINS, FLEXIBLE FRAMEWORKS AND CYTOPLASMIC ORGANIZATION;https://doi.org/10.1038/150270a0;;;;;;;August;1942;;;
TEA LEAVES AS A MAINTENANCE FOOD FOR ANIMALS;https://doi.org/10.1038/150199a0;;;;;;;August;1942;;;
MECHANISM OF METALLIC FRICTION;https://doi.org/10.1038/150197a0;;;;;;;August;1942;;;
OPEN-HEARTH FURNACE REFRACTORIES;https://doi.org/10.1038/150184a0;;;;;;;August;1942;;;
PORTABLE MASS SPECTROMETER;https://doi.org/10.1038/150111a0;;;;;;;July;1942;;;
ECONOMIC VALUE OF THE COMMON STINGING NETTLE;https://doi.org/10.1038/150083a0;;;;;;;July;1942;;;
A RELATIVE CENSUS METHOD FOR BROWN RATS (RATTUS NORVEGICUS);https://doi.org/10.1038/150059a0;;;;;;;July;1942;;;
IS MUSCLE CONTRACTION ESSENTIALLY AN ENZYME-SUBSTRATE COMBINATION?;https://doi.org/10.1038/150046a0;;;;;;;July;1942;;;
WHAT THE PLANT DOES WITH ITS MATERIALS*;https://doi.org/10.1038/150013a0;;;;;;;July;1942;;;
PLEISTOCENE CLIMATES IN KENYA AND ABYSSINIA;https://doi.org/10.1038/149736a0;;;;;;;June;1942;;;
BIOLOGICAL ASSAY OF INSECTICIDAL SPRAYS;https://doi.org/10.1038/149720a0;;;;;;;June;1942;;;
MODERN SCIENCE AND THOMAS HOBBES;https://doi.org/10.1038/149688a0;;;;;;;June;1942;;;
